Frame,Predicted Label
193,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
194,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
195,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
196,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
197,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
198,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
199,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
200,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
201,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
202,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
203,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
204,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
205,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
206,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
207,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
208,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
209,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
210,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
211,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
212,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
213,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
214,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
215,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
216,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
217,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
218,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
219,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
220,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
221,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
222,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
223,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
224,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
225,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
226,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
227,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
228,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
229,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
230,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
231,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
232,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
233,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
234,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
235,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
236,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
237,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
238,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
239,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
240,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
241,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
242,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
243,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
244,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
245,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
246,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
247,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
248,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
249,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
250,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
251,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
252,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
253,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
254,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
255,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
256,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
257,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
258,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
259,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
260,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
261,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
262,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
263,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
264,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
265,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
266,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
267,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
268,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
269,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
270,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
271,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
272,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
273,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
274,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
275,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
276,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
277,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
278,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
279,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
280,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
281,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
282,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
283,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
284,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
285,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
286,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
287,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
288,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
289,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
290,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
291,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
292,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
293,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
294,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
295,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
296,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
297,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
298,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
299,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
300,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
301,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
302,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
303,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
304,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
305,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
306,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
307,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
308,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
309,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
310,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
311,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
312,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
313,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
314,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
315,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
316,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
317,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
318,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
319,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
320,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
321,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
322,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
323,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
324,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
325,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
326,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
327,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
328,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
329,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
330,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
331,"recreation, nursery rhymes, animal behaviors (pantomime - human subject"
